	ACYPI	MYZPE	SIPHA
Number of genes	395	433	350
Number of genes in orthogroups	394	431	308
Number of unassigned genes	1	2	42
Percentage of genes in orthogroups	99.7	99.5	88.0
Percentage of unassigned genes	0.3	0.5	12.0
Number of orthogroups containing species	342	343	279
Percentage of orthogroups containing species	99.4	99.7	81.1
Number of species-specific orthogroups	0	1	0
Number of genes in species-specific orthogroups	0	2	0
Percentage of genes in species-specific orthogroups	0.0	0.5	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	2	1	65
'1	320	302	261
'2	13	30	12
'3	5	3	3
'4	2	3	2
'5	0	2	0
'6	0	0	1
'7	0	1	0
'8	0	0	0
'9	0	0	0
'10	1	0	0
11-15	1	1	0
16-20	0	1	0
21-50	0	0	0
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	0.6	0.3	18.9
'1	93.0	87.8	75.9
'2	3.8	8.7	3.5
'3	1.5	0.9	0.9
'4	0.6	0.9	0.6
'5	0.0	0.6	0.0
'6	0.0	0.0	0.3
'7	0.0	0.3	0.0
'8	0.0	0.0	0.0
'9	0.0	0.0	0.0
'10	0.3	0.0	0.0
11-15	0.3	0.3	0.0
16-20	0.0	0.3	0.0
21-50	0.0	0.0	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	320	302	261
'2	26	60	24
'3	15	9	9
'4	8	12	8
'5	0	10	0
'6	0	0	6
'7	0	7	0
'8	0	0	0
'9	0	0	0
'10	10	0	0
11-15	15	14	0
16-20	0	17	0
21-50	0	0	0
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	81.0	69.7	74.6
'2	6.6	13.9	6.9
'3	3.8	2.1	2.6
'4	2.0	2.8	2.3
'5	0.0	2.3	0.0
'6	0.0	0.0	1.7
'7	0.0	1.6	0.0
'8	0.0	0.0	0.0
'9	0.0	0.0	0.0
'10	2.5	0.0	0.0
11-15	3.8	3.2	0.0
16-20	0.0	3.9	0.0
21-50	0.0	0.0	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
