Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	16	16
OG0000001	13	13
OG0000002	14	14
OG0000003	7	7
OG0000004	8	8
OG0000005	5	5
OG0000006	5	5
OG0000007	4	4
OG0000008	3	3
OG0000009	2	2
OG0000010	3	3
OG0000011	3	3
OG0000012	3	3
OG0000013	3	3
OG0000014	4	4
OG0000015	2	2
OG0000016	2	2
OG0000017	2	2
OG0000018	3	3
OG0000019	3	3
OG0000020	2	2
OG0000021	2	2
OG0000022	2	2
OG0000023	1	1
OG0000024	1	1
OG0000025	1	1
OG0000026	1	1
OG0000027	1	1
OG0000028	1	1
OG0000029	1	1
OG0000030	1	1
OG0000031	1	1
OG0000032	1	1
OG0000033	1	1
OG0000034	1	1
OG0000035	1	1
OG0000036	1	1
OG0000037	1	1
OG0000038	1	1
OG0000039	1	1
OG0000040	1	1
OG0000041	1	1
OG0000042	1	1
OG0000043	1	1
OG0000044	1	1
OG0000045	1	1
OG0000046	1	1
OG0000047	1	1
OG0000048	1	1
OG0000049	1	1
OG0000050	1	1
OG0000051	1	1
OG0000052	1	1
